04D3fk      0.35833600.3578000022.51560700.0863030-0.38664100.0808060 0.07916100.023414010.1890000 0.076500053126.93163300.0834690 0.0003100 0.0004780-0.00003501214.6091020 52.5284680-0.0000480
04D3fq      0.74269700.7420000024.09617200.0971110-0.42980400.3626430-0.04073700.0685800 9.2990000 0.045500053120.15569500.4980090 0.0037550-0.0004660 0.00250601214.2411880 52.3794720-0.0070310
04D3gt      0.45155600.4510000023.24192400.0878280-0.21362400.1122740 0.19139500.029100011.3400000 0.094500053137.86665600.1477460 0.0005000 0.0005310-0.00019201215.6357960 52.6469210 0.0014210
04D3gx      0.91075200.9100000024.65444900.1122020-0.44902900.4391780-0.14575700.0587150 6.0000000 5.000000053125.84646100.5153880 0.0094460-0.0017160 0.00216601215.0569480 52.2827770-0.0224740
04D3hn      0.55260500.5520000023.48813000.0896540-0.57394400.1240750 0.07351400.037143010.7900000 0.022000053137.15321500.1795850 0.0009870 0.0005380 0.00040001215.5287310 52.2285870 0.0013530
04D3kr      0.33753400.3370000021.96621400.0860470 1.23153400.0860070-0.01864700.0228220 9.2870000 0.066500053166.00421500.1195120 0.0001170 0.0004780-0.00014701214.1497260 52.4788740-0.0004160
04D3ks      0.75068100.7500000023.80893200.0994060 0.62356200.3082950-0.03019200.0641840 8.4590000 0.226000053163.23207200.3484310 0.0069030-0.0005810-0.00019801215.6397800 52.1851840-0.0076310
04D3lp      0.98377700.9830000024.98270800.1418800-1.38593800.5677140 0.00948500.0791830 8.8950000 0.125000053148.88134600.8590810 0.0230790-0.0045580 0.00350301214.9621200 52.5031950-0.0297940
04D3lu      0.82269700.8220000024.37349300.1001110-0.55657900.2297960-0.12450300.058657011.1110000 0.076500053169.14493400.4001180 0.0019910-0.0007630 0.00174301215.2832090 52.9747920-0.0137660
04D3mk      0.81369600.8130000024.29680900.0991770-0.26886900.2837900-0.14707200.0567410 9.7190000 0.349000053179.53383900.3277780 0.0026610-0.0006350 0.00227201214.8573510 53.1636940-0.0129360
04D3ml      0.95076300.9500000024.59594700.1123270 1.16976000.4457730-0.13744400.0538170 9.8820000 0.208500053180.27791300.5911010 0.0100220-0.0015600 0.00183701214.1627830 53.0932530-0.0265420
04D3nc      0.81773200.8170000024.27241900.1016080 1.18965100.4495160-0.08297300.0572160 9.1270000 0.076500053187.93740600.4987440 0.0085460-0.0006190 0.00385901214.0759110 52.2738040-0.0133060
04D3nh      0.34052000.3400000022.13734500.0859000 0.61233300.0876050-0.00374700.0215280 9.3560000 0.020500053174.38378900.1002580 0.0002520 0.0004490 0.00010301215.6112830 52.3334480-0.0003640
04D3nr      0.96075100.9600000024.58669400.1162740 0.20086200.4823310 0.02697600.0596220 6.0000000 5.000000053185.90644000.5890770 0.0180110-0.0021140-0.00516601215.6604480 52.6486870-0.0275410
04D3ny      0.81072000.8100000024.23354300.1055870-0.07481600.4905570-0.01498400.065642010.0320000 0.262000053194.18193300.6248830 0.0110460-0.0009680 0.00624301214.7346650 52.1874650-0.0126650
04D3oe      0.75668700.7560000024.05492900.0959350-1.00325400.2766740-0.24630000.0600080 7.492000054.194000053195.27137600.3439190 0.0025350-0.0002550 0.00219601214.9140990 52.5538470-0.0080930
04D4an      0.61125200.6130000024.01549100.0951950-0.36056300.4029490 0.02034100.042269010.5410000 0.154000053183.68978800.4904090 0.0097250 0.0003700 0.00203001333.9879200-17.6955010 0.0000090
